#{"t_start": 1762226713.291023, "env_id": "None"}
r,l,t
-592.309,2221,6.381957
-571.753444,2221,25.34496
-730.809,2221,32.021571
-619.309,2221,50.773752
-748.309,2221,57.694802
-776.809,2221,76.007889
-717.309,2221,83.42159
-771.309,2221,101.61017
-880.309,2221,108.022625
-799.809,2221,126.961203
-807.309,2221,133.195198
-841.809,2221,152.136776
-806.309,2221,170.425126
-656.809,2221,176.849954
-648.753444,2221,196.776544
-568.253445,2221,203.447706
-694.809,2221,223.530382
-917.809,2221,229.901076
-797.309,2221,250.179702
-836.309,2221,256.503833
-950.809,2221,275.363031
-1006.309,2221,282.810134
-926.309,2221,302.209421
-918.809,2221,322.31164
-976.809,2221,329.042375
-911.809,2221,348.942712
-950.309,2221,355.537544
-866.309,2221,375.214937
-812.309,2221,383.512401
-865.309,2221,402.386339
-712.309,2221,408.923384
-705.809,2221,428.673036
-671.309,2221,434.883362
-665.309,2221,454.40932
-602.809,2221,472.866801
-711.309,2221,480.197413
-652.253445,2221,498.553083
-680.309,2221,505.377984
-712.809,2221,525.807293
-687.309,2221,533.718615
-607.809,2221,554.153628
-588.809,2221,560.900968
-683.809001,2221,580.48784
-678.753445,2221,586.937555
-631.309,2221,605.608358
-635.309,2221,611.816497
-548.753444,2221,631.732693
-541.753444,2221,651.13073
-509.253445,2221,657.770421
-478.253444,2221,676.25707
-501.253444,2221,683.935526
-475.753445,2221,702.532364
-437.253444,2221,708.981979
-399.753445,2221,728.880432
-390.253445,2221,735.218102
-438.753445,2221,754.951644
-413.753444,2221,761.433804
-413.253444,2221,781.499995
-337.253444,2221,800.282979
-408.253444,2221,807.66187
-396.753445,2221,827.60283
-376.753444,2221,834.121955
-411.253444,2221,853.921208
-424.753444,2221,860.288664
-377.753444,2221,880.054652
-351.253445,2221,886.574104
-410.753444,2221,905.394982
-403.253444,2221,912.568892
-309.253445,2221,931.259896
-398.253444,2221,950.727072
-641.253444,2221,957.40422
-613.253444,2221,975.701887
-614.253444,2221,983.154009
-534.753444,2221,1001.842064
-565.753444,2221,1008.395302
-578.253444,2221,1028.076776
-500.253444,2221,1034.398177
-550.253445,2221,1054.395434
-483.753445,2221,1060.571841
-541.253445,2221,1080.377488
-500.253444,2221,1086.560865
-480.753445,2221,1105.265402
-497.253445,2221,1124.731695
-492.253445,2221,1131.300505
-479.753445,2221,1150.835144
-508.753444,2221,1157.292878
-500.253445,2221,1176.08304
-516.753445,2221,1183.827318
-506.253444,2221,1202.907804
-494.253444,2221,1210.541921
-388.753445,2221,1229.4226
-430.753444,2221,1235.699415
-446.753444,2221,1256.139915
-427.753444,2221,1274.830632
-369.253444,2221,1282.312755
-363.253445,2221,1301.153448
-336.253444,2221,1307.717636
-361.753445,2221,1327.352774
-405.753444,2221,1333.711686
-426.253445,2221,1353.483729
-393.753445,2221,1360.030417
-388.753445,2221,1380.256266
-408.253445,2221,1386.406742
-343.253444,2221,1405.938341
-392.753444,2221,1425.703582
-328.753444,2221,1432.276311
-332.975665,2221,1451.702958
-347.253445,2221,1458.027804
-387.753445,2221,1477.631046
-331.753445,2221,1484.332345
-242.253445,2221,1503.220948
-360.253445,2221,1510.750948
-343.753445,2221,1529.414123
-358.253445,2221,1535.790475
-363.753445,2221,1555.746676
-329.142334,2221,1562.175948
-374.253444,2221,1581.776422
-372.753444,2221,1600.444351
-383.753444,2221,1607.024597
-332.253444,2221,1626.791637
-301.753445,2221,1633.138226
-324.975668,2221,1653.048048
-340.475665,2221,1659.420278
-415.253445,2221,1680.454953
-359.753448,2221,1687.100177
-253.309,2221,1705.855033
-323.253443,2221,1713.161113
-281.809002,2221,1732.11779
-257.975666,2221,1752.055963
-360.475668,2221,1758.660186
-256.808999,2221,1778.588044
-267.309,2221,1785.318422
-327.975666,2221,1804.572975
-290.309003,2221,1811.958524
-243.809,2221,1830.866431
-195.309002,2221,1837.143495
-132.808996,2221,1857.405765
-202.808998,2221,1863.760293
-211.308998,2221,1883.648887
-324.808998,2221,1902.477458
-275.808998,2221,1910.14775
-184.809004,2221,1929.319293
-208.309003,2221,1935.876771
-143.309001,2221,1955.34703
-257.809003,2221,1961.877676
-308.809001,2221,1981.865021
-206.809001,2221,1988.183641
-263.308998,2221,2008.347732
-202.308997,2221,2014.634257
-285.808998,2221,2034.128372
-299.808998,2221,2041.293089
-331.809,2221,2060.524176
-257.809,2221,2080.233441
-290.309,2221,2086.830391
-263.808997,2221,2107.171549
-312.253445,2221,2113.596742
-469.753445,2221,2132.731272
-278.808999,2221,2140.033118
-262.308995,2221,2159.271695
-219.808999,2221,2165.796036
-272.309001,2221,2185.619685
-316.809001,2221,2191.883399
-305.309003,2221,2211.952355
-349.309001,2221,2230.965986
-249.808998,2221,2237.398812
-323.809003,2221,2256.801116
-282.308999,2221,2263.230546
-316.808997,2221,2282.996861
-303.309003,2221,2289.499811
-312.809,2221,2309.401556
-393.253445,2221,2315.701197
-267.309,2221,2334.87406
-339.808998,2221,2342.087122
-307.808998,2221,2361.312624
-211.808996,2221,2380.944324
-300.808996,2221,2387.728594
-304.309002,2221,2407.745664
-297.309002,2221,2414.259734
-332.253444,2221,2433.191551
-318.309002,2221,2440.541619
-308.808999,2221,2460.202344
-343.809,2221,2466.475121
-345.309001,2221,2486.466558
-313.809002,2221,2492.658619
-334.309001,2221,2512.939526
-346.809,2221,2519.098302
-338.808998,2221,2539.310918
-330.309005,2221,2558.418687
-247.808999,2221,2564.91029
-353.809004,2221,2585.138661
-323.809001,2221,2591.399092
-299.808998,2221,2611.427583
-345.308998,2221,2617.61927
-304.808998,2221,2637.659431
-327.809,2221,2644.192524
-300.309,2221,2663.002673
-271.309002,2221,2670.342303
-308.309002,2221,2689.181393
-244.809,2221,2709.218723
-314.308999,2221,2715.692951
-305.253444,2221,2734.886822
-353.809,2221,2742.470962
-313.808996,2221,2761.551536
-329.809003,2221,2767.950411
-321.309,2221,2787.988714
-318.309001,2221,2794.417351
-335.753446,2221,2814.235489
-307.309001,2221,2820.607011
-298.808999,2221,2840.830849
