step,kart1_X,kart1_Y,kart1_direction,kart1_speed,DrivingMode,GameMode,getFrame,current_checkpoint,surface,lap,reward,total_reward
0,704,1088,0,0,4,2,285,35,74,127,0.0,0.0
1,704,1088,0,0,4,2,286,35,74,127,0.0,0.0
2,704,1088,0,0,4,2,287,35,74,127,0.0,0.0
3,704,1088,0,0,4,2,288,35,74,127,0.0,0.0
4,704,1088,0,0,4,2,289,35,74,127,0.0,0.0
5,704,1088,0,0,4,2,290,35,74,127,0.0,0.0
6,704,1088,0,0,4,2,291,35,74,127,0.0,0.0
7,704,1088,0,0,4,2,292,35,74,127,0.0,0.0
8,704,1088,0,0,4,2,293,35,74,127,0.0,0.0
9,704,1088,0,0,4,2,294,35,74,127,0.0,0.0
10,704,1088,0,0,4,2,295,35,74,127,0.0,0.0
11,704,1088,0,0,4,2,296,35,74,127,0.0,0.0
12,704,1088,0,0,4,2,297,35,74,127,0.0,0.0
13,704,1088,0,0,4,2,298,35,74,127,0.0,0.0
14,704,1088,0,0,4,2,299,35,74,127,0.0,0.0
15,704,1088,0,0,4,2,300,35,74,127,0.0,0.0
16,704,1088,0,0,4,2,301,35,74,127,0.0,0.0
17,704,1088,0,0,4,2,302,35,74,127,0.0,0.0
18,704,1088,0,0,4,2,303,35,74,127,0.0,0.0
19,704,1088,0,0,4,2,304,35,74,127,0.0,0.0
20,704,1088,0,0,4,2,305,35,74,127,0.0,0.0
21,704,1088,0,0,4,2,306,35,74,127,0.0,0.0
22,704,1088,0,0,4,2,307,35,74,127,0.0,0.0
23,704,1088,0,0,4,2,308,35,74,127,0.0,0.0
24,704,1088,0,0,4,2,309,35,74,127,0.0,0.0
25,704,1088,0,0,4,2,310,35,74,127,0.0,0.0
26,704,1088,0,0,4,2,311,35,74,127,0.0,0.0
27,704,1088,0,0,4,2,312,35,74,127,0.0,0.0
28,704,1088,0,0,4,2,313,35,74,127,0.0,0.0
29,704,1088,0,0,4,2,314,35,74,127,0.0,0.0
30,704,1088,0,0,4,2,315,35,74,127,0.0,0.0
31,704,1088,0,0,4,2,316,35,74,127,0.0,0.0
32,704,1088,0,0,4,2,317,35,74,127,0.0,0.0
33,704,1088,0,0,4,2,318,35,74,127,0.0,0.0
34,704,1088,0,0,4,2,319,35,74,127,0.0,0.0
35,704,1088,0,0,4,2,320,35,74,127,0.0,0.0
36,704,1088,0,0,4,2,321,35,74,127,0.0,0.0
37,704,1088,0,0,4,2,322,35,74,127,0.0,0.0
38,704,1088,0,0,4,2,323,35,74,127,0.0,0.0
39,704,1088,0,0,4,2,324,35,74,127,0.0,0.0
40,704,1088,0,0,4,2,325,35,74,127,0.0,0.0
41,704,1088,0,0,4,2,326,35,74,127,0.0,0.0
42,704,1088,0,0,4,2,327,35,74,127,0.0,0.0
43,704,1088,0,0,4,2,328,35,74,127,0.0,0.0
44,704,1088,0,0,4,2,329,35,74,127,0.0,0.0
45,704,1088,0,0,4,2,330,35,74,127,0.0,0.0
46,704,1088,0,0,4,2,331,35,74,127,0.0,0.0
47,704,1088,0,0,4,2,332,35,74,127,0.0,0.0
48,704,1088,0,0,4,2,333,35,74,127,0.0,0.0
49,704,1088,0,0,4,2,334,35,74,127,0.0,0.0
50,704,1088,0,0,4,2,335,35,74,127,0.0,0.0
51,704,1088,0,0,6,2,336,35,74,127,0.0,0.0
52,704,1088,0,0,6,2,337,35,74,127,0.0,0.0
53,704,1088,0,0,6,2,338,35,74,127,0.0,0.0
54,704,1088,0,0,6,2,339,35,74,127,0.0,0.0
55,704,1088,0,0,6,2,340,35,74,127,0.0,0.0
56,704,1088,0,0,6,2,341,35,74,127,0.0,0.0
57,704,1088,0,0,6,2,342,35,74,127,0.0,0.0
58,704,1088,0,0,6,2,343,35,74,127,0.0,0.0
59,704,1088,0,0,6,2,344,35,74,127,0.0,0.0
60,704,1088,0,0,6,2,345,35,74,127,0.0,0.0
61,704,1088,0,0,6,2,346,35,74,127,0.0,0.0
62,704,1088,0,0,6,2,347,35,74,127,0.0,0.0
63,704,1088,0,0,6,2,348,35,74,127,0.0,0.0
64,704,1088,0,0,6,2,349,35,74,127,0.0,0.0
65,704,1088,0,0,6,2,350,35,74,127,0.0,0.0
66,704,1088,0,0,6,2,351,35,74,127,-1.0,-1.0
67,704,1088,0,0,6,2,352,35,74,127,-1.0,-2.0
68,704,1088,0,0,6,2,353,35,74,127,-1.0,-3.0
69,704,1088,0,0,6,2,354,35,74,127,-1.0,-4.0
70,704,1088,0,0,6,2,355,35,74,127,-1.0,-5.0
71,704,1088,0,0,6,2,356,35,74,127,-1.0,-6.0
72,704,1088,0,0,6,2,357,35,74,127,-1.0,-7.0
73,704,1088,0,0,6,2,358,35,74,127,-1.0,-8.0
74,704,1088,0,0,6,2,359,35,74,127,-1.0,-9.0
75,704,1088,0,0,6,2,360,35,74,127,-1.0,-10.0
76,704,1088,0,0,6,2,361,35,74,127,-1.0,-11.0
77,704,1088,0,0,6,2,362,35,74,127,-1.0,-12.0
78,704,1088,0,0,6,2,363,35,74,127,-1.0,-13.0
79,704,1088,0,0,6,2,364,35,74,127,-1.0,-14.0
80,704,1088,0,0,6,2,365,35,74,127,-1.0,-15.0
81,704,1088,0,0,6,2,366,35,74,127,-1.0,-16.0
82,704,1088,0,0,6,2,367,35,74,127,-1.0,-17.0
83,704,1088,0,0,6,2,368,35,74,127,-1.0,-18.0
84,704,1088,0,0,6,2,369,35,74,127,-1.0,-19.0
85,704,1088,0,0,6,2,370,35,74,127,-1.0,-20.0
86,704,1088,0,0,6,2,371,35,74,127,-1.0,-21.0
87,704,1088,0,0,6,2,372,35,74,127,-1.0,-22.0
88,704,1088,0,0,6,2,373,35,74,127,-1.0,-23.0
89,704,1088,0,0,6,2,374,35,74,127,-1.0,-24.0
90,704,1088,0,0,6,2,375,35,74,127,-1.0,-25.0
91,704,1088,0,0,6,2,376,35,74,127,-1.0,-26.0
92,704,1088,0,0,6,2,377,35,74,127,-1.0,-27.0
93,704,1088,0,0,6,2,378,35,74,127,-1.0,-28.0
94,704,1088,0,0,6,2,379,35,74,127,-1.0,-29.0
95,704,1088,0,0,6,2,380,35,74,127,-1.0,-30.0
96,704,1088,0,0,6,2,381,35,74,127,-1.0,-31.0
97,704,1088,0,0,6,2,382,35,74,127,-1.0,-32.0
98,704,1088,0,0,6,2,383,35,74,127,-1.0,-33.0
99,704,1088,0,0,6,2,384,35,74,127,-1.0,-34.0
100,704,1088,0,0,6,2,385,35,74,127,-1.0,-35.0
101,704,1088,0,0,6,2,386,35,74,127,-1.0,-36.0
102,704,1088,0,0,6,2,387,35,74,127,-1.0,-37.0
