rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss
-932.6793705,6144,532,1,2221.0,11,,,,,,,,,,
-991.802827388889,12288,351,2,2221.0,34,0.002205789089202881,-8.284149716297785,2.9565608501434326,0.04111257,4,0.00025,0.40625,0.2,0.014717716738232411,18.269892034431297
-1034.8164075000002,18432,313,3,2221.0,58,0.2594485282897949,-8.262852172056833,4.506625175476074,0.05118059,8,0.00025,0.4182535807291667,0.2,0.01942449248357055,22.981043150027592
-1080.338100595238,24576,300,4,2221.0,81,0.3369179368019104,-8.129269108176231,13.111193656921387,0.020025503,12,0.00025,0.4810384114583333,0.2,0.033846302852907684,31.519328514734905
-1088.4962428518522,30720,290,5,2221.0,105,0.35137027502059937,-8.180211593707403,4.191975116729736,0.05727647,16,0.00025,0.3782145182291667,0.2,0.013283143205626402,31.54480329155922
-1051.1726363939397,36864,283,6,2221.0,129,0.7545158267021179,-8.06313194334507,7.633516311645508,0.046215147,20,0.00025,0.5238444010416666,0.2,0.026676410605432466,23.864037305116653
-1024.8182593194445,43008,280,7,2221.0,153,0.8486919403076172,-8.089931433399519,10.881264686584473,0.06454664,24,0.00025,0.4788818359375,0.2,0.023921312036691234,26.619605749845505
-986.5351905357143,49152,276,8,2221.0,177,0.8228481411933899,-8.110395560661951,7.130049228668213,0.014007278,28,0.00025,0.2793782552083333,0.2,0.009327504943939857,25.353150541583698
-955.6562222708335,55296,273,9,2221.0,202,0.6961166858673096,-8.10652843117714,14.71360969543457,0.03636394,32,0.00025,0.24129231770833334,0.2,0.004222203121268346,46.201209565003715
-923.5990000499999,61440,270,10,2221.0,227,0.796563446521759,-7.935705055793126,6.035913944244385,0.15175618,36,0.00025,0.536865234375,0.2,0.027798862181953155,31.330438653628033
-884.5701111100002,67584,264,11,2221.0,255,0.8645426034927368,-7.987869049112002,6.8972930908203125,0.016888512,40,0.00025,0.3345540364583333,0.2,0.008815940913336817,20.668269058068592
-827.7001111,73728,262,12,2221.0,280,0.9111393094062805,-7.990617414315541,6.780466556549072,0.01131367,44,0.00025,0.351318359375,0.2,0.016425809721113183,16.287774190306664
-793.25677776,79872,261,13,2221.0,305,0.9615824818611145,-8.069921046495438,3.377089500427246,0.011444892,48,0.00025,0.2865804036458333,0.2,0.01115662158554187,8.88324839870135
-781.83533329,86016,260,14,2221.0,330,0.9518020749092102,-7.58918271958828,3.1591978073120117,1.5880102,52,0.00025,0.6420491536458334,0.2,0.16663343138740552,9.857020308574041
-740.7265555299999,92160,258,15,2221.0,355,0.9571665525436401,-7.537746335069339,3.3817138671875,0.010983157,56,0.00025,0.4161376953125,0.2,0.03779942695109639,9.351245651642481
-796.9669999399999,98304,258,16,2221.0,380,0.9709046483039856,-7.538015817602475,2.587489128112793,0.07171878,60,0.00025,0.4263509114583333,0.2,0.028052498009249877,6.763995046416919
-798.4402221500001,104448,257,17,2221.0,405,0.9716302156448364,-7.3621616661548615,2.5347042083740234,0.07685586,64,0.00025,0.4432779947916667,0.2,0.02865852040607327,9.160863960782686
-766.77022215,110592,256,18,2221.0,430,0.982062041759491,-7.39133536318938,2.2769477367401123,0.030177772,68,0.00025,0.4861653645833333,0.2,0.036193199067687,6.207241463164489
-761.01022217,116736,256,19,2221.0,455,0.9838878512382507,-7.39938755830129,1.9237561225891113,0.05730422,72,0.00025,0.5142008463541666,0.2,0.04262420332815964,7.563669477899869
-753.2402221699999,122880,255,20,2221.0,480,0.9854391813278198,-7.255002796649933,2.2014405727386475,0.051239144,76,0.00025,0.5898030598958334,0.2,0.07879809420167778,5.3553995589415235
-750.4802221799999,129024,255,21,2221.0,504,0.986300528049469,-7.3124862760305405,1.6208484172821045,0.011317448,80,0.00025,0.4063313802083333,0.2,0.0339973729957516,5.733125704030196
-752.8303332999999,135168,255,22,2221.0,530,0.9914519786834717,-7.390085582931836,1.189482569694519,0.025399378,84,0.00025,0.4941813151041667,0.2,0.04262048732683373,3.727985091507435
-710.3561110899999,141312,254,23,2221.0,554,0.9921826720237732,-7.286996881167094,1.762088418006897,0.028926617,88,0.00025,0.3174235026041667,0.2,0.014795816969126463,3.2964199483394623
-698.9471111100002,147456,254,24,2221.0,579,0.9920617938041687,-7.335716754198074,1.444507122039795,0.023360059,92,0.00025,0.2674560546875,0.2,0.00813993210734528,3.4792032738526664
-613.2366666700001,153600,254,25,2221.0,604,0.9940759539604187,-7.280863851308823,1.010646939277649,0.017281406,96,0.00025,0.2880045572916667,0.2,0.012372302733031878,2.7046752298871675
-584.8434444700001,159744,253,26,2221.0,629,0.9945071339607239,-7.347315738598506,8.89912223815918,0.025927195,100,0.00025,0.2937825520833333,0.2,0.012385533909158161,3.1009649708867073
-608.2934444900002,165888,253,27,2221.0,653,0.9919372797012329,-7.123672053217888,0.8100153803825378,0.01990942,104,0.00025,0.3857828776041667,0.2,0.02491840448055882,2.843423125644525
-613.6234444600002,172032,253,28,2221.0,678,0.9966168403625488,-7.146337777376175,0.9000470638275146,0.17817755,108,0.00025,0.5729573567708334,0.2,0.07364605079540827,2.777240709712108
-611.5534444700002,178176,253,29,2221.0,703,0.9968397617340088,-7.30571070810159,0.6195526123046875,0.06255167,112,0.00025,0.4949137369791667,0.2,0.038695617253930926,2.57956525310874
