#{"t_start": 1763432741.4846056, "env_id": "None"}
r,l,t
-7507.557783,1078,5.979874
-8800.357809,1078,10.754012
-10716.755489,1055,15.291707
-7400.345042,1069,44.596552
-9188.30001,1065,48.019188
-6340.025294,1088,51.893498
-11863.957797,1053,55.829685
-5570.752811,1098,79.714759
-3356.212818,1113,84.919437
-10897.1091,1052,90.175817
-8931.350593,1062,95.244849
-9409.200275,1068,120.109687
-10285.8136,1049,124.642835
-6358.735085,1092,128.73862
-5312.890599,1094,132.990924
-8447.498505,1120,154.514258
-7489.557819,1078,159.337469
-9103.527796,1173,164.720026
-12526.462003,1081,183.744184
-11762.949981,1065,188.032723
-11673.412019,1050,193.204777
-10323.100282,1068,198.037839
-9290.001492,1060,216.254708
-9135.582494,1091,220.432577
-7591.652797,1073,223.977968
-8315.300994,1070,227.489929
-9211.502106,1072,244.558484
-8893.182497,1091,248.476796
-7747.700978,1070,251.983689
-9257.350581,1062,255.400034
-9514.600605,1062,272.946615
-11133.405487,1055,276.825789
-5399.855513,1076,280.354074
-3769.050295,1068,283.784719
-8788.600984,1061,301.248048
-4846.723087,1087,304.855322
-4537.06298,1101,308.337931
-7907.360504,1051,311.768891
-8645.849997,1066,329.986674
-10239.254499,1056,333.099461
-16061.486083,1024,336.460444
-9476.852094,1072,353.979666
-2381.74529,1203,358.291216
-10238.060481,1080,361.743323
-8098.150987,1061,364.669977
-4362.473098,1087,381.858309
-7727.650082,1067,385.837402
-8376.952086,1059,389.258857
-9482.949991,1066,392.748219
-10999.900585,1062,410.211182
-9134.903619,1057,413.885106
-2806.396485,1096,417.486696
-4492.070307,1103,421.073405
-8113.432493,1091,439.128231
-9512.002814,1073,442.556894
-6462.332486,1091,446.643346
-10619.952109,1059,463.946407
-6247.573086,1087,467.792351
-9606.257802,1078,471.276304
-10286.150112,1064,474.708134
-6428.665292,1083,492.394392
-9296.399991,1066,496.3117
-3961.902818,1073,499.934
-9918.39998,1065,503.351416
-10625.761975,1050,523.05221
-7341.662017,1081,528.690767
-2602.956098,1099,535.638
-6054.153612,1074,540.753507
-10233.459104,1052,561.868437
-2794.307799,1078,566.541544
-6204.716592,1102,571.771074
-7043.911991,1081,576.818077
-7504.278118,1344,601.145127
-9955.305491,1055,607.308006
-8492.051524,1071,612.024591
-7185.528006,1105,635.098324
-8485.404476,1075,640.224529
-9255.471006,1086,645.264761
-8450.721013,1086,650.537595
-8371.755527,1055,677.176135
-6072.766605,1102,683.957087
-5766.175288,1088,689.894877
-11091.152079,1059,695.36873
-9481.351507,1060,720.230088
-7217.400093,1067,725.410005
-6953.867115,1084,731.104698
-5939.620981,1086,735.641747
-5267.003604,1074,755.285175
-7683.217101,1084,759.332294
-6310.050285,1063,762.99752
-2242.470301,1303,780.942203
-5767.865308,1083,785.020004
-4972.449501,1175,789.29015
-5619.518994,1085,792.958306
-7670.31711,1084,811.365076
-4594.637805,1093,815.97468
-2409.231601,1202,820.930935
-5921.182518,1091,824.909699
-7685.950293,1063,843.5727
-6561.243096,1119,847.824728
-9572.055475,1055,851.725035
-5777.419011,1085,871.032372
-6800.109098,1079,874.430532
-6482.952085,1072,878.411961
-6201.871017,1086,882.393864
-8390.218987,1085,901.408357
-5842.146498,1096,905.310122
-7639.40152,1060,909.995937
-5791.655504,1076,915.132939
-4252.013609,1082,936.86429
-6090.267104,1084,941.125756
-3025.59962,1097,945.230586
-7387.579998,1090,949.356863
-5829.570993,1086,969.279958
-10839.760491,1051,974.013983
-3664.888493,1320,979.635401
-11562.152112,1072,1000.959328
-5170.349598,1097,1006.339153
-7458.710505,1080,1011.368675
-10435.5503,1063,1015.917826
-6235.302817,1098,1037.063964
-6249.479986,1090,1042.111441
-5770.770302,1103,1046.707563
-670.349007,1110,1051.770096
-3358.593112,1119,1073.6947
-7454.510499,1080,1078.576057
-7501.805491,1076,1083.243022
-7740.453599,1074,1087.583329
-8952.670979,1086,1107.08516
-12081.968987,1085,1111.251917
-7571.452807,1073,1115.054496
-7182.075281,1088,1133.622186
-2386.965311,1083,1138.009343
-7328.902105,1072,1142.017395
-7659.717117,1084,1146.135969
-8414.450619,1069,1164.541041
-6942.653614,1074,1168.36256
-7705.870999,1086,1172.358139
-5610.740589,1094,1176.268391
-4544.889103,1127,1194.84481
-7541.265303,1083,1198.846129
-4704.263594,1082,1202.744276
-7791.546481,1096,1206.646481
-5960.294592,1109,1225.7998
-7674.996508,1096,1229.965101
-6227.225304,1088,1233.938714
-5093.078001,1105,1253.402992
-1335.912793,1113,1257.278732
-6246.260993,1245,1261.847316
-598.533615,1257,1266.819046
-3336.804109,1227,1289.14958
-693.567497,1340,1294.68375
-2973.296055,1129,1299.674034
