formula,trace,synthesized stl,theta optimal value,optimization time,test result,robustness,error,,,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace18_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0.996297583,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace13_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,AVERAGE,-0.05701942
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace82_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,MIN,-2.14
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace59_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[-2.1398069858551025],,,-2.139806986,,,VIOL AVERAGE,-1.558341751
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace92_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99417663598433137],,,0.994176636,,,NUM VIOL,13
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace49_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace28_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace74_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace45_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.50337430834770203],,,0.503374308,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace79_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace70_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[-2.1252901554107666],,,-2.125290155,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace47_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace35_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace36_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace41_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[-1.0],,,-1,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace95_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[-0.32855737209320068],,,-0.328557372,,,,1
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace53_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[-2.1345505714416504],,,-2.134550571,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace05_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace37_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.50045529007911682],,,0.50045529,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace46_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace40_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace89_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace29_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.96400145813822746],,,0.964001458,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace88_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace15_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace22_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace96_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace56_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace02_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.056130628429668462],,,0.056130628,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace84_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.20479917526245117],,,0.204799175,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace17_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace07_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.49775129556655884],,,0.497751296,,,,
