formula,trace,synthesized stl,theta optimal value,optimization time,test result,robustness,error,,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace18_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace13_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace82_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace59_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace92_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace49_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace28_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace74_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace45_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace79_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace70_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[False],[0.0],,0,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace47_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace35_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
"F[0,1100](lap > 128)",/home/kvsakano/TeLEX/tests/data/model_08-27/playback_trace36_postprocessed.csv,"F[0.0,1100.0](lap > 128.0)",,,[True],[1.0],,1,,,
