formula,trace,synthesized stl,theta optimal value,optimization time,test result,robustness,error,,,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace18_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99629758298397064],,,0.996297583,,AVERAGE,0.551225339
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace13_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,MIN,-2.14
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace82_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,VIOL AVERAGE,-2.13217411
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace59_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99617663817480206],,,0.996176638,,NUM VIOL,5
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace92_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99580253753811121],,,0.995802538,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace49_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99587131012231112],,,0.99587131,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace28_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99548309715464711],,,0.995483097,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace74_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.0],,,0,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace45_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99802341312170029],,,0.998023413,,,
"G[425,575]((phidot >= 1.0) -> U[0,75]((acceleration > -1 & acceleration < 1), (phidot < 0.04363323129)))",/home/kvsakano/TeLEX/tests/data/model_09-10/playback_trace79_postprocessed.csv,"G[425.0,575.0]((phidot >= 1.0) => U[0.0,75.0]((acceleration > -1.0) & (acceleration < 1.0))(phidot < 0.04363323129))",,,[True],[0.99623849685303867],,,0.996238497,,,
